case_id,fake_received_count,real_hops,smtp_code,postfix1_result,postfix2_result,postfix3_result,final_received_count,queue_status
C000,0,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,4,delivered
C001,1,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,5,delivered
C002,2,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,6,delivered
C003,3,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,7,delivered
C004,4,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,8,delivered
C005,5,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,9,delivered
C006,6,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,10,delivered
C007,7,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,11,delivered
C008,8,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,12,delivered
C009,9,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,13,delivered
C010,10,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,14,delivered
C011,11,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,15,delivered
C012,12,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,16,delivered
C013,13,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,17,delivered
C014,14,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,18,delivered
C015,15,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,19,delivered
C016,16,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,20,delivered
C017,17,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,21,delivered
C018,18,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,22,delivered
C019,19,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,23,delivered
C020,20,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,24,delivered
C021,21,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,25,delivered
C022,22,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,26,delivered
C023,23,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,27,delivered
C024,24,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,28,delivered
C025,25,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,29,delivered
C026,26,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,30,delivered
C027,27,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,31,delivered
C028,28,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,32,delivered
C029,29,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,33,delivered
C030,30,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,34,delivered
C031,31,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,35,delivered
